epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1224.34,1.1032,0.68824,1.14846,0.83435,0.83267,0.85681,0.52907,1.30526,0.78464,1.31618,0.0002972,0.0002972,0.0002972
88,1238.33,1.09073,0.68281,1.14382,0.831,0.82796,0.85964,0.52987,1.29108,0.7848,1.31224,0.0002774,0.0002774,0.0002774
89,1252.34,1.09779,0.67973,1.14625,0.83934,0.84262,0.86182,0.53238,1.28898,0.77713,1.31309,0.0002576,0.0002576,0.0002576
90,1266.33,1.09184,0.67302,1.14483,0.85148,0.82527,0.86065,0.52846,1.30015,0.76832,1.31556,0.0002378,0.0002378,0.0002378
91,1280.74,1.04126,0.59579,1.12012,0.85645,0.826,0.862,0.52573,1.29415,0.76709,1.31337,0.000218,0.000218,0.000218
92,1294.62,1.02702,0.58384,1.10717,0.86639,0.8172,0.86366,0.53202,1.29097,0.76903,1.30662,0.0001982,0.0001982,0.0001982
93,1308.51,1.02109,0.57035,1.11475,0.85757,0.82661,0.86624,0.53415,1.2891,0.75987,1.3037,0.0001784,0.0001784,0.0001784
94,1322.29,1.00983,0.5542,1.10139,0.84976,0.83199,0.86094,0.52798,1.2978,0.77366,1.31275,0.0001586,0.0001586,0.0001586
95,1336.17,1.00468,0.54833,1.09863,0.84988,0.83065,0.86012,0.52776,1.29648,0.76848,1.31588,0.0001388,0.0001388,0.0001388
96,1350.05,0.99011,0.54712,1.08761,0.85576,0.82932,0.85606,0.52567,1.29975,0.763,1.31047,0.000119,0.000119,0.000119
97,1363.92,1.0022,0.55125,1.09565,0.86228,0.82796,0.85679,0.53247,1.28596,0.75937,1.31053,9.92e-05,9.92e-05,9.92e-05
98,1377.81,0.99886,0.54608,1.09595,0.83672,0.84812,0.85811,0.53016,1.29424,0.76229,1.31303,7.94e-05,7.94e-05,7.94e-05
99,1391.77,1.00012,0.54259,1.09638,0.86684,0.82258,0.8572,0.52986,1.29599,0.7587,1.31352,5.96e-05,5.96e-05,5.96e-05
100,1405.67,0.99051,0.53928,1.09197,0.86208,0.83199,0.8611,0.53131,1.29304,0.76085,1.3141,3.98e-05,3.98e-05,3.98e-05
