epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
48,1422.36,1.42664,2.00097,1.09846,0.00957,1.08378,0.79164,0.71495,0.79519,0.49177,0.76912,0.73118,0.77971,0.44935,1.29541,2.01687,0.97696,0.01116,0,0.0010694,0.0010694,0.0010694
49,1451.83,1.39508,1.98931,1.07628,0.0094,1.06712,0.76118,0.72581,0.78986,0.48569,0.75287,0.74866,0.78852,0.44358,1.31502,2.02855,0.9825,0.01142,0,0.0010496,0.0010496,0.0010496
50,1481.82,1.40457,1.96902,1.08499,0.0094,1.07358,0.76581,0.75134,0.80388,0.4879,0.75918,0.73925,0.78813,0.45368,1.32548,1.99493,0.94332,0.01147,0,0.0010298,0.0010298,0.0010298
51,1512.56,1.40422,1.95697,1.07673,0.0093,1.06468,0.7707,0.73925,0.81347,0.49672,0.78201,0.74059,0.80771,0.46328,1.30991,1.98898,0.95011,0.01132,0,0.00101,0.00101,0.00101
52,1542.11,1.40006,1.95387,1.06908,0.00933,1.07195,0.74747,0.77016,0.81618,0.50848,0.74747,0.77016,0.80426,0.47269,1.30446,1.96628,0.91028,0.01127,0,0.0009902,0.0009902,0.0009902
53,1571.69,1.39561,1.96078,1.07413,0.0094,1.07258,0.76313,0.72581,0.79658,0.48887,0.76737,0.72984,0.78748,0.45458,1.33336,2.04322,0.95039,0.01156,0,0.0009704,0.0009704,0.0009704
54,1600.97,1.38522,1.95167,1.03293,0.0091,1.00068,0.75822,0.78821,0.82227,0.51221,0.75625,0.78817,0.81734,0.47626,1.31678,1.95399,0.86417,0.0113,0,0.0009506,0.0009506,0.0009506
55,1630.39,1.3839,1.96585,1.05552,0.00923,1.02219,0.79274,0.74194,0.816,0.50529,0.79983,0.75725,0.81708,0.47793,1.29523,1.97369,0.90192,0.01114,0,0.0009308,0.0009308,0.0009308
56,1659.73,1.35495,1.94271,1.02219,0.00904,1.01234,0.79861,0.75684,0.82826,0.51462,0.79884,0.77016,0.83303,0.47992,1.29892,1.97151,0.87044,0.01126,0,0.000911,0.000911,0.000911
57,1688.94,1.38156,1.93565,1.04212,0.00908,1.01355,0.77701,0.75941,0.8251,0.50885,0.77574,0.76478,0.82579,0.48084,1.29421,1.93245,0.89687,0.01113,0,0.0008912,0.0008912,0.0008912
58,1718.28,1.3635,1.93153,1.04371,0.00916,1.04108,0.81162,0.74059,0.81101,0.50364,0.80063,0.73253,0.80091,0.47006,1.30723,1.98063,0.90151,0.01126,0,0.0008714,0.0008714,0.0008714
59,1747.76,1.37001,1.92293,1.02576,0.00913,1.01015,0.79311,0.75538,0.83073,0.51419,0.79593,0.75806,0.8275,0.4784,1.3022,1.95727,0.87949,0.0112,0,0.0008516,0.0008516,0.0008516
60,1777,1.35732,1.90319,1.0098,0.00898,0.97921,0.82785,0.74329,0.83265,0.5137,0.82008,0.75353,0.83082,0.48874,1.30154,1.96255,0.87361,0.01112,0,0.0008318,0.0008318,0.0008318
61,1805.71,1.34822,1.91758,1.00449,0.00896,0.9777,0.81509,0.74059,0.83109,0.51882,0.80834,0.7379,0.82166,0.48712,1.29131,1.96641,0.87072,0.01111,0,0.000812,0.000812,0.000812
62,1834.45,1.34715,1.93026,1.01617,0.00903,0.98234,0.80099,0.76882,0.82679,0.51613,0.80145,0.77042,0.82301,0.47389,1.28614,1.98404,0.88503,0.01101,0,0.0007922,0.0007922,0.0007922
63,1863.81,1.34139,1.88549,1.01692,0.009,0.99925,0.79222,0.79435,0.83087,0.51583,0.7954,0.78903,0.82205,0.48171,1.28847,1.96068,0.87898,0.01099,0,0.0007724,0.0007724,0.0007724
64,1892.51,1.34013,1.894,0.98845,0.00885,0.95104,0.80047,0.76031,0.82479,0.51931,0.80471,0.76344,0.81842,0.47964,1.28185,1.95125,0.90002,0.01092,0,0.0007526,0.0007526,0.0007526
65,1921.43,1.33178,1.89134,0.9772,0.00881,0.92708,0.80114,0.78495,0.83652,0.53162,0.79799,0.78226,0.82995,0.49106,1.27244,1.9584,0.84331,0.01097,0,0.0007328,0.0007328,0.0007328
66,1951.19,1.34946,1.9014,0.99734,0.00898,0.97813,0.79443,0.78951,0.83401,0.53076,0.77928,0.79032,0.82763,0.49586,1.25743,1.94372,0.86029,0.01074,0,0.000713,0.000713,0.000713
67,1980.8,1.31543,1.86236,0.95334,0.00878,0.92054,0.78248,0.79032,0.83606,0.52972,0.78131,0.78751,0.82113,0.48351,1.27416,1.97088,0.84668,0.01086,0,0.0006932,0.0006932,0.0006932
68,2010.29,1.33755,1.87261,0.98191,0.00889,0.96085,0.80624,0.79704,0.83761,0.53071,0.8009,0.79435,0.8272,0.48679,1.27237,1.95484,0.82709,0.01087,0,0.0006734,0.0006734,0.0006734
69,2039.59,1.32339,1.89386,0.98093,0.00873,0.93363,0.81541,0.77285,0.83315,0.52743,0.81355,0.77688,0.82859,0.49117,1.28481,1.96519,0.83917,0.01102,0,0.0006536,0.0006536,0.0006536
70,2068.65,1.31398,1.84036,0.93912,0.00874,0.91675,0.82926,0.78495,0.8411,0.53096,0.82556,0.78629,0.83823,0.49388,1.27819,1.93135,0.81134,0.01097,0,0.0006338,0.0006338,0.0006338
71,2097.76,1.32031,1.85964,0.94722,0.00879,0.92395,0.81891,0.79301,0.84692,0.54712,0.82196,0.79301,0.84449,0.50388,1.23045,1.89842,0.80134,0.01051,0,0.000614,0.000614,0.000614
72,2126.94,1.31635,1.85546,0.94633,0.00872,0.90098,0.8174,0.77688,0.83934,0.53765,0.81175,0.77151,0.83039,0.49419,1.25347,1.92639,0.8269,0.01068,0,0.0005942,0.0005942,0.0005942
73,2156.12,1.30221,1.83912,0.92835,0.00846,0.93067,0.812,0.78955,0.84068,0.54278,0.81062,0.7882,0.82951,0.50033,1.24307,1.92568,0.82963,0.01049,0,0.0005744,0.0005744,0.0005744
74,2185.68,1.2848,1.82117,0.90282,0.00835,0.87736,0.81653,0.80108,0.84473,0.54235,0.81747,0.79839,0.83655,0.49454,1.25082,1.95702,0.81432,0.0106,0,0.0005546,0.0005546,0.0005546
75,2214.83,1.30264,1.83023,0.91926,0.0085,0.88306,0.80816,0.7927,0.84853,0.54172,0.78518,0.79588,0.83722,0.49247,1.24588,1.91955,0.81644,0.01056,0,0.0005348,0.0005348,0.0005348
76,2243.85,1.29388,1.85161,0.91854,0.00851,0.91013,0.85583,0.75,0.84457,0.53949,0.85306,0.74059,0.83566,0.49829,1.23213,1.91057,0.81802,0.0105,0,0.000515,0.000515,0.000515
77,2273.29,1.30868,1.80838,0.89358,0.00849,0.90332,0.82632,0.76097,0.83553,0.53328,0.82924,0.76366,0.8313,0.48938,1.2337,1.93016,0.81432,0.01049,0,0.0004952,0.0004952,0.0004952
78,2302.44,1.30657,1.83695,0.90339,0.00847,0.88133,0.79846,0.77744,0.83105,0.53373,0.8026,0.78147,0.82592,0.49368,1.23013,1.92168,0.85208,0.0103,0,0.0004754,0.0004754,0.0004754
79,2331.61,1.28132,1.82924,0.91572,0.00842,0.88339,0.81264,0.7957,0.84348,0.54115,0.81559,0.79654,0.83712,0.50062,1.22962,1.92188,0.81358,0.01034,0,0.0004556,0.0004556,0.0004556
80,2360.58,1.28393,1.81613,0.89692,0.00833,0.87754,0.82827,0.76747,0.8423,0.54003,0.83117,0.77016,0.83987,0.49528,1.22796,1.9168,0.82734,0.01038,0,0.0004358,0.0004358,0.0004358
81,2389.83,1.26806,1.81124,0.89443,0.00846,0.87772,0.79097,0.79301,0.84429,0.54637,0.8285,0.76618,0.83853,0.49875,1.22844,1.9262,0.81408,0.01039,0,0.000416,0.000416,0.000416
82,2419.19,1.26285,1.79497,0.87135,0.00828,0.83986,0.80887,0.78495,0.84508,0.54995,0.81416,0.78763,0.83489,0.49963,1.2331,1.93453,0.80769,0.01048,0,0.0003962,0.0003962,0.0003962
83,2448.44,1.26823,1.77929,0.87335,0.00828,0.82788,0.79506,0.81864,0.8539,0.5532,0.79636,0.81998,0.84849,0.50243,1.23216,1.94274,0.79641,0.01041,0,0.0003764,0.0003764,0.0003764
84,2477.96,1.26067,1.78067,0.87712,0.00827,0.83341,0.82322,0.79032,0.84965,0.54941,0.81983,0.78895,0.83835,0.50297,1.23142,1.94813,0.79799,0.01045,0,0.0003566,0.0003566,0.0003566
85,2507.46,1.26249,1.81505,0.91237,0.00812,0.87659,0.8442,0.76472,0.84357,0.54489,0.83901,0.76344,0.83583,0.49682,1.23239,1.93845,0.80772,0.01037,0,0.0003368,0.0003368,0.0003368
86,2536.59,1.2516,1.78109,0.85406,0.00818,0.83421,0.85818,0.77016,0.85852,0.55034,0.84727,0.77546,0.8497,0.50502,1.24724,1.94056,0.77498,0.01056,0,0.000317,0.000317,0.000317
