epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1321.48,1.51516,2.08981,1.2969,0.01048,1.20712,0.7361,0.72581,0.7756,0.46114,0.74929,0.72043,0.77874,0.44131,1.38404,2.06978,1.01979,0.01211,0,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1361.43,1.52503,2.09532,1.2399,0.01047,1.1834,0.76369,0.73843,0.78662,0.46293,0.75831,0.73801,0.77807,0.44421,1.39727,2.06104,1.01726,0.01224,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1401.05,1.50389,2.05228,1.22882,0.01036,1.16054,0.74378,0.75134,0.79351,0.47783,0.74631,0.7473,0.78721,0.44605,1.37631,2.05478,0.99487,0.01212,0,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1440.95,1.51609,2.03635,1.21633,0.0104,1.15531,0.779,0.73433,0.79148,0.46925,0.778,0.72539,0.78172,0.43924,1.38526,2.07803,0.99335,0.0121,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,1481.17,1.49251,2.05744,1.25408,0.01027,1.19803,0.77899,0.73656,0.78245,0.44867,0.77302,0.72715,0.7676,0.43411,1.40457,2.05858,1.04834,0.01263,0,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,1521.13,1.4967,2.04305,1.20388,0.0103,1.16038,0.77526,0.71402,0.78769,0.46807,0.76022,0.73253,0.78052,0.45517,1.40834,2.01431,0.9964,0.01262,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,1561,1.49724,2.06637,1.20169,0.01032,1.16166,0.75727,0.75061,0.80504,0.48675,0.75004,0.75134,0.80259,0.4551,1.3817,2.0299,0.95373,0.01208,0,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,1601.05,1.49613,2.05028,1.1864,0.01018,1.15422,0.81932,0.70699,0.8006,0.48845,0.82603,0.71237,0.80326,0.4571,1.36629,2.03059,0.92077,0.01194,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,1640.91,1.49913,2.05052,1.1828,0.01028,1.1356,0.77759,0.75403,0.82252,0.49237,0.76978,0.7379,0.805,0.4672,1.40755,2.06047,0.93476,0.01249,0,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,1680.87,1.4968,2.02355,1.18687,0.01036,1.13115,0.78229,0.74194,0.80328,0.4845,0.77719,0.73925,0.79454,0.45418,1.37816,2.02944,0.96296,0.0122,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,1720.76,1.48008,2.03827,1.19311,0.01014,1.13789,0.73048,0.71402,0.76536,0.44796,0.72536,0.72773,0.76077,0.42554,1.4304,2.12271,1.08594,0.01263,0,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,1760.54,1.48379,2.06055,1.19753,0.01011,1.12501,0.78516,0.74462,0.81215,0.47822,0.7985,0.72973,0.80996,0.45536,1.36792,1.99288,0.98503,0.01202,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,1800.44,1.47266,2.03159,1.16803,0.01025,1.12876,0.77689,0.76075,0.7946,0.47295,0.77791,0.75672,0.79403,0.45129,1.40206,2.02069,0.98536,0.01241,0,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,1840.29,1.48445,1.99267,1.14884,0.0101,1.12601,0.82715,0.75538,0.82896,0.49774,0.81586,0.74438,0.8195,0.47205,1.34732,1.95727,0.91718,0.01186,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,1880.14,1.47151,2.01111,1.14875,0.00999,1.12352,0.76481,0.76491,0.81821,0.4915,0.77638,0.77151,0.81788,0.46186,1.36204,2.01212,0.92537,0.01193,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,1919.98,1.49246,2.02419,1.12529,0.01019,1.10049,0.76382,0.7607,0.79645,0.46906,0.77072,0.76478,0.79984,0.44994,1.40327,2.04922,0.97931,0.01243,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,1959.93,1.4571,1.98548,1.12515,0.00976,1.05793,0.80686,0.76366,0.81679,0.49037,0.80115,0.75403,0.81081,0.45543,1.33764,2.01449,0.93655,0.01167,0,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,1999.9,1.43682,1.96473,1.12161,0.00975,1.06252,0.81199,0.72177,0.81416,0.5004,0.80998,0.73387,0.81672,0.47392,1.34937,1.98507,0.93441,0.01173,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2039.57,1.45473,1.97168,1.12144,0.00981,1.05036,0.76977,0.74866,0.80274,0.49109,0.76808,0.74597,0.7992,0.45818,1.36082,2.00127,0.94755,0.01192,0,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,2079.4,1.44489,1.98016,1.14145,0.00976,1.07546,0.77635,0.74653,0.80177,0.47929,0.77639,0.75,0.80426,0.45429,1.38353,2.02991,0.9606,0.01211,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2119.35,1.45327,1.98457,1.13261,0.00987,1.07166,0.78384,0.77688,0.81823,0.49472,0.78186,0.77554,0.81196,0.46706,1.3474,1.96761,0.91632,0.01187,0,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
