epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,860.748,1.28481,2.02174,1.00855,1.21978,0,0.811,0.77284,0.83275,0.52128,0.81261,0.76882,0.82452,0.48219,1.23484,2.05785,0.91208,1.21185,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,886.166,1.26379,1.97869,0.99515,1.20836,0,0.83968,0.75538,0.83655,0.53727,0.82394,0.77688,0.8378,0.48651,1.22504,2.00242,0.88835,1.21133,0,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,911.578,1.26821,1.98351,0.98504,1.21419,0,0.78098,0.80038,0.83598,0.52445,0.79636,0.78842,0.83248,0.47585,1.25386,2.05178,0.91042,1.24339,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,937.035,1.26068,1.96918,0.97918,1.20645,0,0.8136,0.78226,0.82221,0.51091,0.80521,0.77419,0.81308,0.46182,1.25788,2.09618,0.93394,1.24413,0,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,962.419,1.26008,1.96619,0.95898,1.21426,0,0.81411,0.76344,0.83348,0.52075,0.7963,0.79301,0.82946,0.47186,1.28402,2.1426,0.90313,1.26203,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,987.872,1.26031,1.99402,0.97849,1.20988,0,0.78995,0.78091,0.82481,0.51937,0.79045,0.76882,0.8232,0.47169,1.24829,2.04438,0.91468,1.2321,0,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,1013.28,1.2511,1.97569,0.96569,1.20167,0,0.76048,0.78947,0.81937,0.50852,0.76005,0.77151,0.80659,0.4596,1.26221,2.07301,0.90471,1.24965,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,1038.79,1.24256,1.96375,0.95162,1.19544,0,0.80295,0.78226,0.84451,0.53487,0.81634,0.74866,0.82887,0.49095,1.23806,2.02613,0.87221,1.22811,0,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,1064.57,1.24754,1.95836,0.95057,1.19871,0,0.83657,0.75684,0.84765,0.53706,0.8203,0.77151,0.8435,0.48371,1.22854,2.03545,0.85191,1.21264,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,1089.95,1.23935,1.96465,0.94312,1.19327,0,0.82229,0.78985,0.8415,0.52541,0.82232,0.78763,0.84053,0.48367,1.24135,1.98247,0.87905,1.23306,0,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,1115.37,1.24514,1.98118,0.95636,1.19533,0,0.7958,0.77151,0.83121,0.51225,0.82243,0.75941,0.82944,0.46803,1.27425,2.05294,0.89778,1.25035,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,1140.9,1.23436,1.9331,0.92086,1.1895,0,0.81569,0.81586,0.858,0.53785,0.81185,0.81317,0.84702,0.50046,1.24782,1.98696,0.84594,1.23692,0,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,1166.39,1.22396,1.91368,0.91727,1.18039,0,0.81853,0.79032,0.84554,0.53174,0.81853,0.79032,0.84513,0.48492,1.25923,2.00599,0.86513,1.2397,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,1191.84,1.21564,1.94916,0.9292,1.18062,0,0.86637,0.78428,0.85485,0.54715,0.87231,0.78966,0.85772,0.50387,1.23504,2.00821,0.83159,1.21769,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,1217.36,1.22544,1.92468,0.91042,1.18951,0,0.84589,0.78204,0.84606,0.53517,0.83776,0.78629,0.84084,0.49507,1.24333,1.99423,0.86589,1.23976,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,1243.11,1.21239,1.92082,0.90149,1.17313,0,0.8088,0.80166,0.84699,0.54763,0.84003,0.77823,0.851,0.49928,1.21428,1.99517,0.83222,1.21871,0,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,1268.59,1.19795,1.89859,0.89566,1.17388,0,0.83763,0.77688,0.84485,0.54146,0.84904,0.77108,0.84614,0.49849,1.2146,1.9991,0.84655,1.21055,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,1293.93,1.194,1.89424,0.8943,1.16329,0,0.80146,0.78675,0.84067,0.52494,0.80658,0.77151,0.83636,0.47006,1.25814,2.07003,0.90208,1.25648,0,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,1319.29,1.19737,1.89413,0.88638,1.16303,0,0.85923,0.78763,0.85708,0.54093,0.83374,0.7886,0.84945,0.49562,1.23448,2.043,0.83678,1.22949,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,1344.99,1.19526,1.9035,0.88488,1.16679,0,0.84221,0.81855,0.85907,0.54578,0.83768,0.82527,0.8627,0.50391,1.20048,1.96596,0.83036,1.21625,0,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,1370.38,1.18147,1.88216,0.87238,1.16372,0,0.82238,0.78412,0.84154,0.54176,0.82765,0.78744,0.84427,0.4989,1.20556,1.94845,0.83988,1.22282,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,1395.77,1.19196,1.88795,0.86148,1.16623,0,0.84243,0.79704,0.85926,0.54287,0.83958,0.79435,0.85371,0.50319,1.23061,2.03058,0.83644,1.23288,0,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,1421.2,1.17691,1.87056,0.8617,1.15356,0,0.84167,0.81451,0.85887,0.54939,0.8388,0.81132,0.85582,0.50434,1.22683,2.00068,0.81809,1.24048,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,1446.57,1.18002,1.87575,0.85739,1.15675,0,0.78707,0.82258,0.85167,0.54082,0.7893,0.81183,0.84301,0.49251,1.21424,1.97545,0.83595,1.21272,0,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,1472.02,1.16404,1.85755,0.84335,1.1505,0,0.80791,0.82533,0.85704,0.54938,0.81096,0.82392,0.85637,0.50055,1.21329,1.9986,0.81052,1.21257,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,1497.52,1.17538,1.84604,0.84212,1.15388,0,0.84575,0.82258,0.86361,0.54664,0.84437,0.82124,0.86168,0.50478,1.23335,1.98445,0.80388,1.23095,0,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,1522.93,1.17975,1.85651,0.84751,1.15856,0,0.8622,0.78226,0.86107,0.54927,0.86612,0.78629,0.86202,0.50397,1.21557,1.99009,0.8037,1.2098,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,1548.34,1.16079,1.84855,0.84431,1.14416,0,0.87196,0.79973,0.8675,0.55334,0.84782,0.80914,0.86118,0.51041,1.2278,2.03078,0.804,1.22308,0,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,1573.87,1.16012,1.85406,0.83775,1.14579,0,0.85191,0.8196,0.86203,0.55002,0.84384,0.81452,0.85921,0.50855,1.20929,1.98994,0.78493,1.21206,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,1599.24,1.15418,1.84128,0.83431,1.14365,0,0.85117,0.8225,0.87521,0.55567,0.84601,0.81965,0.86563,0.50963,1.21527,1.97572,0.77932,1.23286,0,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,1624.71,1.16003,1.85569,0.83443,1.14987,0,0.80526,0.85033,0.8564,0.54703,0.81352,0.83264,0.8554,0.50782,1.21835,1.96881,0.79122,1.20749,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,1650.11,1.15569,1.83754,0.82717,1.1395,0,0.83261,0.81855,0.86154,0.54704,0.86292,0.81226,0.86434,0.50599,1.22518,1.95475,0.79015,1.23467,0,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,1675.49,1.1604,1.81814,0.82356,1.14653,0,0.83097,0.81452,0.86599,0.55919,0.84896,0.80108,0.86691,0.51543,1.19093,1.94795,0.80486,1.2042,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
